"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,host,index,linecount,punct,source,sourcetype,"splunk_server","splunk_server_group",timeendpos,timestartpos
"Jun 30 09:33:00 firewall: Connection from 192.168.1.10 to 192.168.1.20 on port 8080 BLOCKED","2025-06-30T09:33:00.000+0530",9,30,33,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 09:33:00 firewall: Connection from 192.168.1.10 to 192.168.1.20 on port 8080 BLOCKED","2025-06-30T09:33:00.000+0530",9,30,33,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 09:24:00 firewall: Connection from 192.168.1.10 to 198.51.100.23 on port 3389 BLOCKED","2025-06-30T09:24:00.000+0530",9,30,24,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 09:24:00 firewall: Connection from 192.168.1.10 to 198.51.100.23 on port 3389 BLOCKED","2025-06-30T09:24:00.000+0530",9,30,24,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 09:12:00 firewall: Connection from 10.0.0.5 to 203.0.113.15 on port 8080 BLOCKED","2025-06-30T09:12:00.000+0530",9,30,12,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 09:12:00 firewall: Connection from 10.0.0.5 to 203.0.113.15 on port 8080 BLOCKED","2025-06-30T09:12:00.000+0530",9,30,12,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 09:04:00 firewall: Connection from 192.168.1.10 to 192.168.1.20 on port 8080 BLOCKED","2025-06-30T09:04:00.000+0530",9,30,4,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 09:04:00 firewall: Connection from 192.168.1.10 to 192.168.1.20 on port 8080 BLOCKED","2025-06-30T09:04:00.000+0530",9,30,4,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 09:03:00 firewall: Connection from 10.0.0.5 to 192.168.1.20 on port 8080 BLOCKED","2025-06-30T09:03:00.000+0530",9,30,3,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 09:03:00 firewall: Connection from 10.0.0.5 to 192.168.1.20 on port 8080 BLOCKED","2025-06-30T09:03:00.000+0530",9,30,3,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 08:56:00 firewall: Connection from 203.0.113.15 to 203.0.113.15 on port 3389 BLOCKED","2025-06-30T08:56:00.000+0530",8,30,56,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 08:56:00 firewall: Connection from 203.0.113.15 to 203.0.113.15 on port 3389 BLOCKED","2025-06-30T08:56:00.000+0530",8,30,56,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 08:53:00 firewall: Connection from 203.0.113.15 to 172.16.0.2 on port 8080 BLOCKED","2025-06-30T08:53:00.000+0530",8,30,53,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 08:53:00 firewall: Connection from 203.0.113.15 to 172.16.0.2 on port 8080 BLOCKED","2025-06-30T08:53:00.000+0530",8,30,53,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 08:52:00 firewall: Connection from 198.51.100.23 to 192.168.1.10 on port 8080 BLOCKED","2025-06-30T08:52:00.000+0530",8,30,52,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 08:52:00 firewall: Connection from 198.51.100.23 to 192.168.1.10 on port 8080 BLOCKED","2025-06-30T08:52:00.000+0530",8,30,52,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 08:44:00 firewall: Connection from 10.0.0.5 to 203.0.113.15 on port 3389 BLOCKED","2025-06-30T08:44:00.000+0530",8,30,44,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 08:44:00 firewall: Connection from 10.0.0.5 to 203.0.113.15 on port 3389 BLOCKED","2025-06-30T08:44:00.000+0530",8,30,44,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 08:27:00 firewall: Connection from 203.0.113.15 to 192.168.1.10 on port 8080 BLOCKED","2025-06-30T08:27:00.000+0530",8,30,27,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 08:27:00 firewall: Connection from 203.0.113.15 to 192.168.1.10 on port 8080 BLOCKED","2025-06-30T08:27:00.000+0530",8,30,27,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 08:19:00 firewall: Connection from 203.0.113.15 to 198.51.100.23 on port 8080 BLOCKED","2025-06-30T08:19:00.000+0530",8,30,19,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 08:19:00 firewall: Connection from 203.0.113.15 to 198.51.100.23 on port 8080 BLOCKED","2025-06-30T08:19:00.000+0530",8,30,19,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 08:15:00 firewall: Connection from 192.168.1.10 to 192.168.1.10 on port 22 BLOCKED","2025-06-30T08:15:00.000+0530",8,30,15,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 08:15:00 firewall: Connection from 192.168.1.10 to 192.168.1.10 on port 22 BLOCKED","2025-06-30T08:15:00.000+0530",8,30,15,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 08:13:00 firewall: Connection from 192.168.1.20 to 198.51.100.23 on port 22 BLOCKED","2025-06-30T08:13:00.000+0530",8,30,13,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 08:13:00 firewall: Connection from 192.168.1.20 to 198.51.100.23 on port 22 BLOCKED","2025-06-30T08:13:00.000+0530",8,30,13,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 08:07:00 firewall: Connection from 192.168.1.20 to 10.0.0.5 on port 22 BLOCKED","2025-06-30T08:07:00.000+0530",8,30,7,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 08:07:00 firewall: Connection from 192.168.1.20 to 10.0.0.5 on port 22 BLOCKED","2025-06-30T08:07:00.000+0530",8,30,7,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 08:04:00 firewall: Connection from 172.16.0.2 to 203.0.113.15 on port 22 BLOCKED","2025-06-30T08:04:00.000+0530",8,30,4,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 08:04:00 firewall: Connection from 172.16.0.2 to 203.0.113.15 on port 22 BLOCKED","2025-06-30T08:04:00.000+0530",8,30,4,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 07:58:00 firewall: Connection from 198.51.100.23 to 172.16.0.2 on port 22 BLOCKED","2025-06-30T07:58:00.000+0530",7,30,58,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:58:00 firewall: Connection from 198.51.100.23 to 172.16.0.2 on port 22 BLOCKED","2025-06-30T07:58:00.000+0530",7,30,58,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 07:47:00 firewall: Connection from 172.16.0.2 to 10.0.0.5 on port 8080 BLOCKED","2025-06-30T07:47:00.000+0530",7,30,47,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:47:00 firewall: Connection from 172.16.0.2 to 10.0.0.5 on port 8080 BLOCKED","2025-06-30T07:47:00.000+0530",7,30,47,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 07:45:00 firewall: Connection from 172.16.0.2 to 192.168.1.10 on port 3389 BLOCKED","2025-06-30T07:45:00.000+0530",7,30,45,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:45:00 firewall: Connection from 172.16.0.2 to 192.168.1.10 on port 3389 BLOCKED","2025-06-30T07:45:00.000+0530",7,30,45,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 07:35:00 firewall: Connection from 198.51.100.23 to 172.16.0.2 on port 22 BLOCKED","2025-06-30T07:35:00.000+0530",7,30,35,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:35:00 firewall: Connection from 198.51.100.23 to 172.16.0.2 on port 22 BLOCKED","2025-06-30T07:35:00.000+0530",7,30,35,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 07:27:00 firewall: Connection from 192.168.1.20 to 10.0.0.5 on port 3389 BLOCKED","2025-06-30T07:27:00.000+0530",7,30,27,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:27:00 firewall: Connection from 192.168.1.20 to 10.0.0.5 on port 3389 BLOCKED","2025-06-30T07:27:00.000+0530",7,30,27,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 07:22:00 firewall: Connection from 192.168.1.20 to 203.0.113.15 on port 22 BLOCKED","2025-06-30T07:22:00.000+0530",7,30,22,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:22:00 firewall: Connection from 192.168.1.20 to 203.0.113.15 on port 22 BLOCKED","2025-06-30T07:22:00.000+0530",7,30,22,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 07:20:00 firewall: Connection from 10.0.0.5 to 10.0.0.5 on port 22 BLOCKED","2025-06-30T07:20:00.000+0530",7,30,20,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:20:00 firewall: Connection from 10.0.0.5 to 10.0.0.5 on port 22 BLOCKED","2025-06-30T07:20:00.000+0530",7,30,20,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 07:16:00 firewall: Connection from 10.0.0.5 to 192.168.1.20 on port 3389 BLOCKED","2025-06-30T07:16:00.000+0530",7,30,16,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:16:00 firewall: Connection from 10.0.0.5 to 192.168.1.20 on port 3389 BLOCKED","2025-06-30T07:16:00.000+0530",7,30,16,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 07:14:00 firewall: Connection from 172.16.0.2 to 203.0.113.15 on port 8080 BLOCKED","2025-06-30T07:14:00.000+0530",7,30,14,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:14:00 firewall: Connection from 172.16.0.2 to 203.0.113.15 on port 8080 BLOCKED","2025-06-30T07:14:00.000+0530",7,30,14,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 07:13:00 firewall: Connection from 10.0.0.5 to 203.0.113.15 on port 8080 BLOCKED","2025-06-30T07:13:00.000+0530",7,30,13,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:13:00 firewall: Connection from 10.0.0.5 to 203.0.113.15 on port 8080 BLOCKED","2025-06-30T07:13:00.000+0530",7,30,13,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 07:11:00 firewall: Connection from 203.0.113.15 to 198.51.100.23 on port 8080 BLOCKED","2025-06-30T07:11:00.000+0530",7,30,11,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:11:00 firewall: Connection from 203.0.113.15 to 198.51.100.23 on port 8080 BLOCKED","2025-06-30T07:11:00.000+0530",7,30,11,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
"Jun 30 07:10:00 firewall: Connection from 203.0.113.15 to 172.16.0.2 on port 3389 BLOCKED","2025-06-30T07:10:00.000+0530",7,30,10,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:10:00 firewall: Connection from 192.168.1.10 to 192.168.1.20 on port 8080 BLOCKED","2025-06-30T07:10:00.000+0530",7,30,10,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:10:00 firewall: Connection from 192.168.1.10 to 203.0.113.15 on port 8080 BLOCKED","2025-06-30T07:10:00.000+0530",7,30,10,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log",2,"DESKTOP-323JAS5",,16,0
"Jun 30 07:10:00 firewall: Connection from 203.0.113.15 to 172.16.0.2 on port 3389 BLOCKED","2025-06-30T07:10:00.000+0530",7,30,10,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::_:___...__...____","network_connections.log","network_cinnection log","DESKTOP-323JAS5",,16,0
