"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,host,index,linecount,punct,source,sourcetype,"splunk_server","splunk_server_group",timeendpos,timestartpos
"Jun 30 08:55:00 server sshd[12345]: Accepted password for alice from 192.168.1.20 port 27860 ssh2","2025-06-30T08:55:00.000+0530",8,30,55,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 08:55:00 server sshd[12345]: Accepted password for alice from 192.168.1.20 port 27860 ssh2","2025-06-30T08:55:00.000+0530",8,30,55,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
"Jun 30 08:47:00 server sshd[12345]: Accepted password for admin from 10.0.0.5 port 13582 ssh2","2025-06-30T08:47:00.000+0530",8,30,47,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 08:47:00 server sshd[12345]: Accepted password for admin from 10.0.0.5 port 13582 ssh2","2025-06-30T08:47:00.000+0530",8,30,47,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
"Jun 30 08:40:00 server sshd[12345]: Accepted password for john from 192.168.1.10 port 20473 ssh2","2025-06-30T08:40:00.000+0530",8,30,40,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 08:40:00 server sshd[12345]: Accepted password for john from 192.168.1.10 port 20473 ssh2","2025-06-30T08:40:00.000+0530",8,30,40,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
"Jun 30 08:30:00 server sshd[12345]: Accepted password for root from 10.0.0.5 port 42135 ssh2","2025-06-30T08:30:00.000+0530",8,30,30,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 08:30:00 server sshd[12345]: Accepted password for root from 10.0.0.5 port 42135 ssh2","2025-06-30T08:30:00.000+0530",8,30,30,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
"Jun 30 08:28:00 server sshd[12345]: Accepted password for john from 192.168.1.10 port 18504 ssh2","2025-06-30T08:28:00.000+0530",8,30,28,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 08:28:00 server sshd[12345]: Accepted password for john from 192.168.1.10 port 18504 ssh2","2025-06-30T08:28:00.000+0530",8,30,28,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
"Jun 30 08:23:00 server sshd[12345]: Accepted password for alice from 172.16.0.2 port 15186 ssh2","2025-06-30T08:23:00.000+0530",8,30,23,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 08:23:00 server sshd[12345]: Accepted password for alice from 172.16.0.2 port 15186 ssh2","2025-06-30T08:23:00.000+0530",8,30,23,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
"Jun 30 08:18:00 server sshd[12345]: Accepted password for alice from 192.168.1.10 port 63168 ssh2","2025-06-30T08:18:00.000+0530",8,30,18,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
